x,y,z
1,[0.13399766 0.60198995 4.6202708 ],"Aruco, [8]"
x,y,z
2,[0.13233811 0.59751291 4.60643069],"Aruco, [8]"
x,y,z
3,[0.13217261 0.60254829 4.64437575],"Aruco, [8]"
x,y,z
4,[0.12671088 0.60033903 4.60625956],"Aruco, [8]"
x,y,z
5,[0.12540416 0.59550951 4.55759631],"Aruco, [8]"
x,y,z
6,[0.12867661 0.61170101 4.64867969],"Aruco, [8]"
x,y,z
7,[0.12894154 0.59403732 4.51405911],"Aruco, [8]"
x,y,z
8,[0.13876095 0.61226225 4.63920943],"Aruco, [8]"
x,y,z
9,[0.1344564  0.59567511 4.51410005],"Aruco, [8]"
x,y,z
10,[0.13626776 0.60536928 4.60116618],"Aruco, [8]"
x,y,z
11,[0.13838642 0.60567892 4.62591835],"Aruco, [8]"
x,y,z
12,[0.13586931 0.60135544 4.63018157],"Aruco, [8]"
x,y,z
13,[0.13870211 0.59278365 4.63015911],"Aruco, [8]"
x,y,z
14,[0.14444514 0.58360944 4.6389003 ],"Aruco, [8]"
x,y,z
15,[0.14576746 0.57088969 4.6110156 ],"Aruco, [8]"
x,y,z
16,[0.14114732 0.56233785 4.63811811],"Aruco, [8]"
x,y,z
17,[0.14857276 0.54808735 4.65099344],"Aruco, [8]"
x,y,z
18,[0.15604912 0.5386521  4.64659964],"Aruco, [8]"
x,y,z
19,[0.15112234 0.51928841 4.5978589 ],"Aruco, [8]"
x,y,z
20,[0.15748154 0.51634723 4.69030724],"Aruco, [8]"
x,y,z
21,[0.14941472 0.48889179 4.47970064],"Aruco, [8]"
x,y,z
22,[0.14193652 0.4935863  4.61655752],"Aruco, [8]"
x,y,z
23,[0.14769814 0.487792   4.66314809],"Aruco, [8]"
x,y,z
24,[0.15274102 0.45406447 4.48417541],"Aruco, [8]"
x,y,z
x,y,z
26,[0.16374351 0.44917263 4.57711593],"Aruco, [8]"
x,y,z
27,[0.16516409 0.44148342 4.54475287],"Aruco, [8]"
x,y,z
28,[0.16154353 0.45142419 4.65891619],"Aruco, [8]"
x,y,z
29,[0.15337065 0.45522943 4.62569575],"Aruco, [8]"
